№,Объект,router,olt,switch,controller,кол-во AP,AP-IP,UpLink,Адрес,Комментарии,zbx,owfV2,6hhz,,,,,,
20,"АЛМАТИНСКИЙ ФИЛИАЛ ТОО ""MULTIBRAND COMPANY""",128.127.102.155,,,,1,,Extended_HeX-S_from_BS7_SW,микрорайон Жетысу-4 32/2,клиент поставил свое оборудвания ,-,,,,,,,,
21,ЯКУБОГЛЫ ТАМАЗИ ЯКОВЛЕВИЧ ИП (Harissa),128.127.102.9,,,,,,BS60_SW,ул Кабанбай 68,,-,,+,,,,,,
22,02-ALM-B2B-DelCappuccino,128.127.102.11,,,,2,,BS111_SW, ул Толе би 64,,+,,руиджи,,,,,,
23,02-ALM-B2B-IP-Cafe-Asqala,128.127.102.46,,,,2,,BS10_SW,Аксай 1А д. 38,,+,,юбик,,,,,,
24,Абзал ИП Avatariya,128.127.102.154,,,,1,,BS13k1_R2,Саина 16а,,у клиента свое оборудование ,,,,,,,,
25,02-ALM-B2B-IP-Kim,128.127.102.8,,,,1,,BS18_SW, ул Рыскулбекова 31,,логика отключена/ надо добавить,,руиджи,,,,,,
26,02-ALM-B2B-Gil-Batyr,128.127.102.40,,,,5,,BS15_SW,Алтынсарина 8,,+,,+/5я ТД не в доступе,,,,,,
27,02-ALM-B2B-Harissa,128.127.102.9,,,,1,,BS60_SW,ул Кабанбай 68,,+,,+,,,,,,
28,02-ALM-B2B-GloriaJeansCoffee,128.127.102.107,,02-ALM-B2B-GloriaJeansCoffee,,1,,BS58_SW,ул. Абылайхана 113,отказники,+,,,,,,,,
29,"Акционерное общество ""Международный аэропорт Алматы""",128.127.102.84,,,,,,BS84k1_SW,"ул. Майлина, 2",,+,,,,,,,,
30,Калмаханова ИП,128.127.102.102,,,,1,,BS33_SW,пр. Абая 47,"не хорека
",-,,недоступен,,,,,,
31,02-ALM-B2B-Restaurant-Riviera,128.127.102.140,,,,2,,BS99_SW,"Жамбыла, 142",,+,,недоступен,,,,,,
32,02-ALM-B2B-CS-JOY,128.127.102.141; 10.41.148.31,,,,2,,BS120_SW,"Курмангазы 54, Flask cafe",,+,,,,,,,,
33,02-ALM-B2B-ABRestaurants,128.127.102.212,,10.41.148.38:9632,,1,10.41.3.73/29,BS58_SW,Абылай Хана 112/116,,+,,,,,,,,
34,02-ALM-B2B-Avataria-Sholohova29,128.127.102.232,,,,1,,BS79_SW,Шолохова 29,,-/у клиента свое оборудование ,,,,,,,,
35,02-ALM-B2B-April-Tshay,128.127.102.249,,"10.41.148.47 - heX_1;
10.41.149.1 - heX_2",,4,"10.41.3.145/28
10.41.3.147-10.41.3.151",BS28_SW1,"Гагарина , 111Б ",,+,,руиджи,,,,,,
36,02-ALM-B2B-GourmetGroup,128.127.102.197,,"10.41.148.142, 10.41.148.157",,13,,BS110_SW,"богенбай батыра, 85",,+,,+,,,,,,
37,02-ALM-B2B-CafeVeranda,128.127.102.44,,,,2,,BS102_SW,ул Масанчи 79,,+,,руиджи,,,,,,
38,02-ALM-B2B-Kaganat-AkanSery,128.127.102.248,,,,1,,BS79_SW,"Акан Серы , 18",,+,,руиджи,,,,,,
1,02-ALM-B2B-Kaganat-Rayimbeka-212,128.127.102.247,,10.41.148.44:9632,,1,10.41.3.121/29,BS132_SW,"Райымбека, , 212/2",,+,,нет линка на ТД,,,,,,
40,02-ALM-B2B-RasBallroom,128.127.102.226,,,,4,,BS12_SW,"Хан шатыр , 291, Ресторан ",,+,,руиджи,,,,,,
